sample_codes	samples	Subtype_miRNA	Subtype_mRNA	Subtype_DNAmeth	Subtype_Selected
TCGA.2V.A95S.01	TCGA-2V-A95S	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GS.01	TCGA-2Y-A9GS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GT.01	TCGA-2Y-A9GT	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GU.01	TCGA-2Y-A9GU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GV.01	TCGA-2Y-A9GV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GW.01	TCGA-2Y-A9GW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GX.01	TCGA-2Y-A9GX	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GY.01	TCGA-2Y-A9GY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9GZ.01	TCGA-2Y-A9GZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H0.01	TCGA-2Y-A9H0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H1.01	TCGA-2Y-A9H1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H2.01	TCGA-2Y-A9H2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H3.01	TCGA-2Y-A9H3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H4.01	TCGA-2Y-A9H4	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H5.01	TCGA-2Y-A9H5	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H6.01	TCGA-2Y-A9H6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H7.01	TCGA-2Y-A9H7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H8.01	TCGA-2Y-A9H8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9H9.01	TCGA-2Y-A9H9	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9HA.01	TCGA-2Y-A9HA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.2Y.A9HB.01	TCGA-2Y-A9HB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.3K.AAZ8.01	TCGA-3K-AAZ8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.4R.AA8I.01	TCGA-4R-AA8I	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5C.A9VG.01	TCGA-5C-A9VG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5C.A9VH.01	TCGA-5C-A9VH	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5C.AAPD.01	TCGA-5C-AAPD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5R.AA1C.01	TCGA-5R-AA1C	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5R.AA1D.01	TCGA-5R-AA1D	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.5R.AAAM.01	TCGA-5R-AAAM	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.BC.4072.01	TCGA-BC-4072	3	1	2	LIHC.iCluster:1
TCGA.BC.4073.01	TCGA-BC-4073	3	1	2	LIHC.iCluster:3
TCGA.BC.A10Q.11	TCGA-BC-A10Q	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.BC.A10Q.01	TCGA-BC-A10Q	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.BC.A10R.11	TCGA-BC-A10R	5	1	1	LIHC.iCluster:1
TCGA.BC.A10R.01	TCGA-BC-A10R	5	1	1	LIHC.iCluster:1
TCGA.BC.A10S.01	TCGA-BC-A10S	3	3	4	LIHC.iCluster:2
TCGA.BC.A10T.11	TCGA-BC-A10T	5	4	2	LIHC.iCluster:3
